1,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,JORNAL,A TARDE *,15.111.297/0001-30,"R$ 22.663,91"
2,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,JORNAL,CORREIO BRAZILIENSE *,00.001.172/0001-80,"R$ 47.266,54"
3,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,JORNAL,ESTADO DE MINAS *,17.247.933/0001-80,"R$ 42.504,95"
4,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,JORNAL,JORNAL DO COMMÉRCIO *,10.798.130/0001-75,"R$ 39.286,72"
5,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,JORNAL,JORNAL DO BRASIL (BAIXADO) *,04.289.390/0001-12,"R$ 47.946,00"
6,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,JORNAL,O DIA *,33.216.797/0001-18,"R$ 63.959,83"
7,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,JORNAL,O GLOBO (EDITORA GLOBO) *,04.067.191/0001-60,"R$ 147.482,87"
8,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,JORNAL,CORREIO DO POVO *,92.757.798/0001-39,"R$ 33.672,36"
9,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,JORNAL,ZERO HORA *,92.821.701/0001-00,"R$ 21.885,95"
10,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,JORNAL,FOLHA DE S. PAULO *,60.579.703/0001-48,"R$ 275.703,31"
11,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,JORNAL,JORNAL DA TARDE (S/A O ESTADO) *,61.533.949/0001-41,"R$ 13.758,77"
12,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,JORNAL,O ESTADO DE S. PAULO *,61.533.949/0001-41,"R$ 260.791,11"
13,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,RÁDIO,"1C0A4IÇFAMRA*FFM- 96,7 - EX LIBERDADE FM - EX",92.205.426/0001-08,"R$ 3.243,66"
14,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,RÁDIO,ELDORADO * FM,91.827.782/0001-92,"R$ 3.027,42"
15,ADMINISTRAÇÃO DIRETA,MIN. DA CULTURA,McCANN-ERICKSON,RÁDIO,"CIDADE FM - 92,1 (SUBSTITUIDO) * FM",91.043.687/0001-06,"R$ 3.459,91"
